	Marca	Vettura	Porte	Anno	Tipo Tetto	TettoVetro	KIT 	  Componibili  PIEDE  	TRAVERSE Acc 	Alu	Preassemblate E.O. SW Acc	Alu.1	Quick Acc	Alu.2	FREE LINE	Unnamed: 16	INITIAL	EASY ONE	EVO	Porta Bici Post.
0	Abarth	 Abarth		nan-nan																
1	Abarth	500	3	2007-nan	Tetto nudo	SI	281.0	500	513	613								67.0	67.0	NO
2	Abarth	Punto	3	2005-2014	Tetto nudo	SI	251.0	500	507	607								56.0	56.0	NO
3	Alfa Romeo	 Alfa Romeo		nan-nan																
4	Alfa Romeo	146	4	1995-2001	Tetto nudo													34.0		NO
5	Alfa Romeo	147	3	2000-2010	Tetto nudo	SI	311.0	500	507	607										NO
6	Alfa Romeo	147	5	2000-2010	Tetto nudo	SI	245.0	500	507	607								48.0	48.0	NO
7	Alfa Romeo	155	4	1992-1997	Tetto nudo													20.0		NO
8	Alfa Romeo	156	4	1997-2007	Tetto nudo													34.0		RT
9	Alfa Romeo	156 Crosswagon	5	2004-2007	Barre lungitudinali	SI		600	520	620	815.0	915.0			515.0		● ○			NO
10	Alfa Romeo	156 SW	5	2000-2006	Tetto nudo	SI												34.0		NO
11	Alfa Romeo	156 SW	5	2000-2006	Barre lungitudinali	SI		600	520	620	815.0	915.0			515.0		● ○			NO
12	Alfa Romeo	159	4	2005-2013	Tetto nudo	SI	238.0	500	507	607								23.0	57.0	SI
13	Alfa Romeo	159 SW	5	2005-2013	Tetto nudo	SI	238.0	500	507	607								23.0	57.0	NO
14	Alfa Romeo	159 SW	5	2005-2013	Barre lungitudinali	SI		600	520	620	815.0	915.0			515.0		● ○			NO
15	Alfa Romeo	164	4	1987-1998	Tetto nudo	SI												34.0		NO
16	Alfa Romeo	75	4	1985-1992	Tetto nudo													24.0	24.0	NO
17	Alfa Romeo	Giulia	4	2016-nan	Tetto nudo	NV	337.0	500	513	613								82.0	82.0	SI
18	Alfa Romeo	Giulietta	5	2010-nan	Tetto nudo	NO	239.0	500	507	607										AL-RT
19	Alfa Romeo	Mito	3	2008-2018	Punti fissi	SI	110.0	500	507	607								10.0	10.0	SI
20	Alfa Romeo	Stelvio	5	2017-nan	Profili integrati	SI		601	507	607			857.0	957.0		715				NO
21	Audi	 Audi		nan-nan																
22	Audi	80 SW	5	1992-1995	Barre lungitudinali	SI		600	507	607	815.0	915.0			515.0		● ○			NO
23	Audi	A1 	3	2010-2018	Tetto nudo	NO	289.0	500	513	613										NO
24	Audi	A1 	5	2018-nan	Tetto nudo	NV													89.0	NO
25	Audi	A1 Sportback 	5	2011-2018	Tetto nudo	NO	279.0	500	513	613								65.0	65.0	NO
26	Audi	A1 Sportback 	5	2011-2018	Tetto nudo	SI												65.0	65.0	NO
27	Audi	A3 	3	1996-2003	Tetto nudo													23.0	23.0	AL
28	Audi	A3 	3	2003-2012	Tetto nudo	NO	277.0	500	513	613								32.0	32.0	AL
29	Audi	A3 	3	2003-2012	Tetto nudo	SI												32.0	32.0	AL
30	Audi	A3 	3	2012-2017	Tetto nudo	NO	278.0	500	520	620										NO
31	Audi	A3 Berlina 	4	2013-2020	Tetto nudo	NO	343.0	500	520	620										NV
32	Audi	A3 Sportback 	5	2004-2012	Tetto nudo	NV	372.0	500	513	613								45.0	36.0	NO
33	Audi	A3 Sportback 	5	2004-2013	Profili integrati	SI	401.0	600 / 601	526 / 507	626 / 607	830.0	930.0	857.0	957.0		730				AL
34	Audi	A3 Sportback 	5	2012-2020	Tetto nudo	NO	308.0	500	520	620									84.0	NO
35	Audi	A3 Sportback 	5	2012-2020	Tetto nudo	SI													84.0	NO
36	Audi	A3 Sportback 	5	2012-2020	Profili integrati	SI		601	507	607			857.0	957.0		730				NO
37		A3 	5	2020-nan	Tetto nudo														89.0	
38	Audi	A4 	4	2000-2004	Tetto nudo		359.0	500	513	613								25.0	59.0	SI
39	Audi	A4 	4	2004-2007	Tetto nudo		359.0	500	513	613										SI
40	Audi	A4 	4	2008-2015	Tetto nudo	SI	359.0	500	520	620										SI
41	Audi	A4 	4	2016-nan	Tetto nudo	NO	356.0	500	513	613										SI
42	Audi	A4 Allroad 	5	2009-2015	Barre lungitudinali	SI		600 / 601	520 / 507	620 / 607	830.0	930.0	857.0	957.0	515.0	715	● ○			AL
43	Audi	A4 Allroad 	5	2016-nan	Barre lungitudinali	SI		600 / 601	520 / 507	620 / 607	830.0	930.0	857.0	957.0	515.0	715	● ○			NO
44	Audi	A4 SW 	5	1995-2004	Barre lungitudinali	SI		600	520	620	815.0	915.0			515.0		● ○			AL
45	Audi	A4 SW 	5	2004-2008	Barre lungitudinali	SI		600	513	613	815.0	915.0			515.0		● ○			AL
46	Audi	A4 SW 	5	2008-2015	Profili integrati	SI	410.0	600 / 601	526 / 507	626 / 607	830.0	930.0	857.0	957.0		730				AL
47	Audi	A4 SW 	5	2015-nan	Profili integrati	SI		601	507	607			857.0	957.0		715				NO
48	Audi	A5 	2-4	2007-2016																2B
49	Audi	A6 	4	1997-2004																SI
50	Audi	A6 	4	2004-2011	Tetto nudo		310.0	500	520	620										SI
51	Audi	A6 	4	2011-2018																SI
52	Audi	A6 Allroad 	5	2000-2005	Barre lungitudinali	SI		600	520	620	815.0	915.0			515.0		● ○			AL-AB
53	Audi	A6 Allroad 	5	2006-2012	Barre lungitudinali	SI		600	526	626	830.0	930.0			530.0		● ○			AL-AB
54	Audi	A6 Allroad 	5	2012-2018	Barre lungitudinali	SI		600	526	626	830.0	930.0			515.0		● ○			NO
55	Audi	A6 SW 	5	1994-1997	Barre lungitudinali	SI		600	520	620	815.0	915.0			515.0		● ○			NO
56	Audi	A6 SW 	5	1998-2004	Barre lungitudinali	SI		600	520	620	815.0	915.0			515.0		● ○			AL-AB
57	Audi	A6 SW 	5	2005-2011	Profili integrati	SI	403.0	600 / 601	526 / 507	626 / 607	830.0	930.0	857.0	957.0		730				AL-AB
58	Audi	A6 SW 	5	2011-2018	Profili integrati	SI		601	513	613			865.0	965.0		730				AA-AL-2B-RT
59	Audi	A6 SW 	5	2018-nan	Profili integrati	SI		601	513	613			865.0	965.0		730				NV
60	Audi	A8 	4	2009-2013																SI
61	Audi	E-Tron	5	2019-nan	Profili integrati	SI		601	513	613			865.0	965.0		730				NO
62	Audi	Q2 	5	2017-nan	Tetto nudo	NO	340.0	500	520	620								78.0	78.0	NO
63	Audi	Q2 	5	2017-nan	Tetto nudo	SI												78.0	78.0	NO
64	Audi	Q3 	5	2011-2018	Profili integrati	SI		601	507	607			857.0	957.0		730				NO
65	Audi	Q3 	5	2018-nan	Profili integrati	SI		601	513	613			865.0	965.0		730				NV
66	Audi	Q5 	5	2008-2017	Profili integrati	SI		601	513	613			865.0	965.0		730				NO
67	Audi	Q5 	5	2017-nan	Profili integrati	SI		601	513	613			865.0	965.0		730				NO
68	Audi	Q7 	5	2006-2015	Profili integrati	SI		601	507	607			857.0	957.0		730				NO
69	Audi	Q8 	5	2018-nan	Profili integrati	SI		601	513	613			865.0	965.0		730				NV
70	Bmw	 Bmw		nan-nan																
71	Bmw	Serie 1 	3-5	2004-2011	Punti fissi	SI	103.0	500	507	607								3.0	3.0	AL
72	Bmw	Serie 1 	3-5	2011-2019	Punti fissi	SI	103.0	500	507	607								3.0	3.0	AL-2B
73	BMW	Serie 1 	5	2019-nan	Punti fissi	SI	126.0	500	507	607									91.0	NV
74	Bmw	Serie 1 coupè 	3	2007-2013	Punti fissi	SI	103.0	500	507	607								3.0	3.0	AL
75	Bmw	Serie 2 Active Tourer 	5	2014-nan	Tetto nudo	SI	325.0	500	520	620								72.0	72.0	NO
76	Bmw	Serie 2 Active Tourer 	5	2014-nan	Profili integrati	SI		601	507	607			857.0	957.0		730				NO
77	Bmw	Serie 2 Coupè 	3	2014-nan	Punti fissi	SI	103.0	500	507	607								3.0	3.0	NO
78	Bmw	Serie 2 Gran Tourer 	5	2014-nan	Profili integrati	SI		601	507	607			857.0	957.0		715				NO
79	Bmw	Serie 3 	4	1998-2005	Punti fissi	SI	103.0	500	507	607								3.0	3.0	SI
80	Bmw	Serie 3 	4	2005-2012	Punti fissi	SI	103.0	500	507	607								3.0	3.0	SI
81	Bmw	Serie 3 	4	2012-2019	Punti fissi	SI	103.0	500	507	607								3.0	3.0	SI
82	BMW	Serie 3 	4	2019-nan	Punti fissi	SI	126.0	500	507	607									91.0	NV
83	Bmw	Serie 3 coupè 	2	1999-2003																AB-RT
84	Bmw	Serie 3 coupè 	2	2003-2006																RT
85	Bmw	Serie 3 Coupè 	3	2006-2014	Punti fissi	SI	103.0	500	507	607								3.0	3.0	SI
86	Bmw	Serie 3 GT 	5	2013-nan	Punti fissi	SI	103.0	500	513	613								3.0		NO
87	Bmw	Serie 3 Touring 	5	1994-1999	Barre lungitudinali	SI		600	520	620	815.0	915.0			515.0		● ○			NO
88	Bmw	Serie 3 Touring 	5	1999-2002	Punti fissi	SI	103.0	500	507	607								3.0	3.0	AL
89	Bmw	Serie 3 Touring 	5	1999-2002	Barre lungitudinali	SI		600	520	620	830.0	930.0			515.0		● ○			AL
90	Bmw	Serie 3 Touring 	5	2003-2005	Punti fissi	SI	103.0	500	507	607								3.0	3.0	NO
91	Bmw	Serie 3 Touring 	5	2003-2005	Barre lungitudinali	SI		600	520	620	830.0	930.0			515.0		● ○			NO
92	Bmw	Serie 3 Touring 	5	2005-2012	Punti fissi	SI	103.0	500	507	607								3.0	3.0	NO
93	Bmw	Serie 3 Touring 	5	2005-2012	Barre lungitudinali	SI		600	520	620	815.0	915.0			515.0		● ○			NO
94	Bmw	Serie 3 Touring 	5	2010-2012	Profili integrati	SI	408.0	600	520	620	830.0	930.0								NO
95	Bmw	Serie 3 Touring 	5	2012-2019	Profili integrati	SI		601	507	607			857.0	957.0		730				NO
96	Bmw	Serie 3 Touring 	5	2019-nan	Profili integrati	SI		601	507	607			857.0	957.0		715				NO
97	Bmw	Serie 4 Coupè 	3	2013-nan	Punti fissi	SI	103.0	500	507	607								3.0	3.0	NO
98	Bmw	Serie 4 Gran Coupè 	4	2014-nan	Punti fissi	SI	103.0	500	507	607								3.0	3.0	NO
99	Bmw	Serie 5 	4	1995-2003																SI
100	Bmw	Serie 5 	4	2003-2010	Tetto nudo		288.0	500	520	620								32.0	32.0	SI
101	Bmw	Serie 5 GT 	5	2009-2017	Punti fissi	SI	103.0	500	526	626										NO
102	Bmw	Serie 5 Touring 	5	1991-1997	Barre lungitudinali	SI		600	520	620	815.0	915.0			515.0		● ○			NO
