	Marca	Modello	Anno	Tipo	KIT-W-Kit	FLUSHBAR Argento 	"FLUSHBAR MIX Argento 
W-Flush"	THRUBAR Argento W-Through	RAILBAR Argento W-RailBar	RAILBAR MIX Argento W-RailBarMix	FLUSHBAR Nere WB-Flush	FLUSHBAR MIX Nere WB-FlushMix	THRUBAR Nere WB-Through	RAILBAR Nere WB-RailBar	RAILBAR MIX nere WB-RailBarMix 	Descrizione tetto
0	Alfa Romeo	146	1994-2000	Tetto nudo	YK066W			Y8050187					Y8050227			tetto standard
1	Alfa Romeo	155	1992-1997	Tetto nudo	YK066W			Y8050187					Y8050227			tetto standard
2	Alfa Romeo	159 Sportwagon - railing	2006-2013	Barre lungitudinali	YK328W	Y8050181				Y8050210	Y8050221				Y8050247	railing standard
3	Alfa Romeo	Giulia (anche tetto vetro)	2016-	Tetto nudo	YK1030W		Y8050194	Y8050188				Y8050233	Y8050228			tetto standard
4	Alfa Romeo	Giulietta (anche tettuccio)	2010-	Tetto nudo	YK590W	Y8050179		Y8050187			Y8050219		Y8050227			tetto standard
5	Alfa Romeo	Stelvio (anche tetto vetro)	2017-	Tetto nudo	YK1068W		Y8050195	Y8050188				Y8050234	Y8050228			tetto standard
6	Audi	A1 Sportback 5p	2012-2018	Tetto nudo	YK766W	Y8050180		Y8050188			Y8050220		Y8050228			tetto standard
7	Audi	A3 3p	2012-2019	Tetto nudo	YK731W		Y8050195					Y8050234				tetto standard
8	Audi	A3 Sedan 4p	2013-	Tetto nudo	YK727W		Y8050195	Y8050188				Y8050234	Y8050228			tetto standard
9	Audi	A3 Sportback 5p	2004-2012	Tetto nudo	YK428W	Y8050180		Y8050188			Y8050220		Y8050228			tetto standard
10	Audi	A3 Sportback 5p - profilo	2004-2012	Profili integrati	YK695W		Y8050196	Y8050188				Y8050235	Y8050228			profilo integrato
11	Audi	A3 Sportback 5p	2012-2020	Tetto nudo	YK721W		Y8050194	Y8050187				Y8050233	Y8050227			tetto standard
12	Audi	A3 Sportback 5p - profilo	2012-2020	Profili integrati	YK772W		Y8050196	Y8050189				Y8050235	Y8050229			profilo integrato
13	Audi	A4 4p	2001-2007	Tetto nudo	YK377W	Y8050180		Y8050188			Y8050220		Y8050228			tetto standard
14	Audi	A4 4p	2007-2015	Tetto nudo	YK390W	Y8050180		Y8050188			Y8050220		Y8050228			tetto standard
15	Audi	A4 4p	2015-	Tetto nudo	YK1003W	Y8050180		Y8050188			Y8050220		Y8050228			tetto standard
16	Audi	A4 Allroad - railing	2009-2016	Barre lungitudinali	YK328W		Y8050196	Y8050188	Y8050204			Y8050235	Y8050228	Y8050241		railing standard
17	Audi	A4 Allroad - railing	2016-	Barre lungitudinali	YK328W		Y8050196	Y8050188	Y8050204			Y8050235	Y8050228	Y8050241		railing standard
18	Audi	A4 Avant - railing	2001-2003	Barre lungitudinali	YK328W		Y8050194	Y8050188		Y8050209		Y8050233	Y8050228		Y8050246	railing standard
